name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Watervue Grille,700 Harbour Post Dr,Tampa,FL,4,"Event Planning & Services, Seafood, American (New), Restaurants, Venues & Event Spaces",American & Fast Food,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,19.95,458315
Mission BBQ,13612 Bruce B Downs Blvd,Tampa,FL,4,"Restaurants, Barbeque",Bar & Wines,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,34.31,255955
The Floridian,4534 W Kennedy Blvd,Tampa,FL,3,"Restaurants, Cuban, Sandwiches",Latin,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,31.56,411201
Ana Delicias Bakery,5537 Sheldon Rd,Tampa,FL,4,"Cupcakes, Patisserie/Cake Shop, Restaurants, Dominican, Desserts, Bakeries, Food, Custom Cakes, Caribbean",Latin,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,11.63,320788
Downtown Crawlers,600 N Ashley Dr,Tampa,FL,4,"Arts & Entertainment, Beer Tours, Party & Event Planning, Social Clubs, Hotels & Travel, Tours, Bar Crawl, Event Planning & Services, Nightlife, Bars, Club Crawl, Festivals",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,28.74,458315
Fleming’s Prime Steakhouse & Wine Bar,4322 W Boy Scout Blvd,Tampa,FL,4,"Restaurants, Breakfast & Brunch, Wine Bars, Seafood, Bars, Steakhouses, Nightlife",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,4.2,312328
La Mansion de La Arepa,10011 W Hillsborough Ave,Tampa,FL,4,"Latin American, Restaurants, Venezuelan",American & Fast Food,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,28.78,320788
Ice Spice Cafe,"20304 Trout Creek Dr, Ste 101",Tampa,FL,5,"Restaurants, Food, Indian, Desserts, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt",Bar & Wines,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,3.19,185666
Prime Time Sports Grill,14404 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, Grocery, Pubs, Bars, Sports Bars, American (Traditional), Food, Nightlife",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,11.12,323283
New York Kitchen & Lounge,4606 W Boy Scout Blvd,Tampa,FL,3,"Nightlife, Restaurants, Bars, Sports Bars, Gastropubs",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,30.3,312328
Mi Pueblo Cafeteria,1910 N Lincoln Ave,Tampa,FL,3,"Restaurants, Latin American",American & Fast Food,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,5.7,312328
Bar Louie - Tampa,2223 N Westshore Blvd,Tampa,FL,4,"Cocktail Bars, American (New), Restaurants, Burgers, Nightlife, Bars, Gastropubs, Pubs, Sports Bars",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,8.71,312328
Beef 'O' Brady's,2819 S MacDill Ave,Tampa,FL,3,"Nightlife, Restaurants, Pubs, Bars, Sports Bars, American (Traditional), American (New)",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,22.39,297935
Eataly Pizza & Grill,138-A S Dale Mabry Hwy,Tampa,FL,2,"American (Traditional), Pizza, Restaurants, Italian, American (New)",American & Fast Food,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,25.92,411201
Zaxby's Chicken Fingers & Buffalo Wings,4201 W Hillsborough Ave,Tampa,FL,3,"American (Traditional), Chicken Wings, Salad, Fast Food, Restaurants",American & Fast Food,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,23.72,438346
